call_id,ticker,n_turns,boundary_idx,method,corroborated,boundary_role,prev_text,boundary_text,next_text,correct_y_n
441983377,CFG,87,0,operator_cue,False,operator,,"Good morning, everyone, and welcome to the Citizens Financial Group Third Quarter 2025 Earnings Conference Call. My name is Denise, and I'll be your operator to","Thank you, Denise. Good morning, everyone, and thank you for joining us. First this morning, our Chairman and CEO, Bruce Van Saun; and Interim CFO, Chris Emerso",
442279894,GM,75,0,operator_cue,False,operator,,"Good morning, and welcome to the General Motors Company Third Quarter 2025 Earnings Conference Call. During the opening remarks, all participants will be in a l","Thanks, Amanda, and good morning, everyone. We appreciate you joining us as we review GM's financial results for the third quarter of 2025. Our conference call ",
442356642,T,49,0,operator_cue,False,operator,,"Good morning, and welcome to AT&T Third Quarter 2025 Earnings Call. At this time, all participants are in a listen-only mode. (Operator Instructions) Following ","Thank you, and good morning. Welcome to our third quarter call. I'm Brett Feldman, Head of Investor Relations for AT&T. Joining me on the call today are John St",
442454175,NSC,82,0,operator_cue,False,operator,,"Good afternoon, ladies and gentlemen, and welcome to Norfolk Southern Third Quarter 2025 Earnings Conference Call. At this time, all participant lines are in th","Good afternoon, everyone. Please note that during today's call, we will make certain forward-looking statements within the meaning of the Safe Harbor Provision ",
442654439,NXPI,78,0,operator_cue,False,operator,,"Hello, and thank you for standing by. Welcome to NXP's Third Quarter 2025 Earnings Conference Call. At this time, all participants are in a listen-only mode. Af","Thank you, Tawanda, and good morning, everyone. Welcome to our third-quarter earnings call today. With me on the call today is Rafael Sotomayor, NXP's President",
442655128,BRO,106,4,operator_cue,False,operator,"a solid fourth quarter that will be the capstone on a really good year for Brown & Brown. With that, we'll turn it back over to Gigi and open the lines for Q&A.",Thank you. (Operator Instructions). Our first question comes from the line of Mike Zaremski from BMO.,"Hey, great. Good morning. My first question is on the relationship of organic growth to EBITDAC margins, not in any given quarter, but maybe over time. There's ",
442659068,NEE,67,0,operator_cue,False,operator,,"Good day, and welcome to NextEra Energy Inc. Q3 2025 Earnings Conference Call. All participants will be in the listen-only mode. (Operator Instructions) After t","Thank you, Steve. Good morning, everyone, and thank you for joining our Third Quarter 2025 Financial Results Conference Call for NextEra Energy. With me this mo",
442668774,CINF,58,0,operator_cue,False,operator,,"Good day, and welcome to the Cincinnati Financial Corporation 2025 Third Quarter Earnings Conference Call. All participants will be in listen-only mode. (Operat","Hello. This is Dennis McDaniel at Cincinnati Financial. Thank you for joining us for our third quarter 2025 earnings conference call. Yesterday, we issued a new",
442928239,ODFL,59,0,operator_cue,False,operator,,Good morning and welcome to the Old Dominion Freight Line Third Quarter 2025 Earnings Call. All participants will be in listen-only mode. (Operator Instructions,"Thank you, Jason, and good morning, everyone. Welcome to the third quarter 2025 conference call for Old Dominion Freight Line. Today's call is being recorded an",
442962768,META,42,0,operator_cue,False,operator,,"Good afternoon. My name is Krista, and I will be your conference operator today. At this time, I would like to welcome everyone to the Meta Third Quarter Earnin","Thank you. Good afternoon and welcome to Meta's third quarter 2025 earnings conference call. Joining me today are Mark Zuckerberg, CEO; and Susan Li, CFO. Our r",
442982074,CHRW,66,0,operator_cue,False,operator,,"Good afternoon, ladies and gentlemen, and welcome to the C.H. Robinson Third Quarter 2025 Conference Call. At this time, all participants are in a listen-only m","Thank you, and good afternoon, everyone. On the call with me today is Dave Bozeman, our President and Chief Executive Officer; Michael Castagnetto, our Presiden",
443168327,CMCSA,40,7,operator_cue,False,operator,"Operator, let's open the call for Q&A, please.",Thank you. We'll now begin the question-and-answer session. (Operator Instructions) Our first question today is coming from Michael Rollins from Citibank. Your ,"Thanks, and good morning. Congratulations, Mike, on being named Co-CEO and Dave becoming Vice Chair. Just a couple of questions. So first on broadband, just cur",
443182856,INVH,59,0,operator_cue,False,operator,,Welcome to the Invitation Homes Third Quarter 2025 Earnings Conference Call. All lines are in a listen-only mode at this time. (Operator Instructions). As a rem,"Thank you, operator, and good morning. Joining me today from Invitation Homes are Dallas Tanner, our President and Chief Executive Officer; Tim Lobner, our Chie",
443192146,SO,112,0,operator_cue,False,operator,,"Good afternoon. My name is Diego, and I will be your conference operator today. At this time, I would like to welcome everyone to the Southern Company Third Qua","Thanks, Diego. Good afternoon, and welcome to Southern Company's third quarter 2025 (Multiple Speakers) Joining me today are Chris Womack, Chairman, President a",
443204973,DXCM,76,0,operator_cue,False,operator,,"Ladies and gentlemen, welcome to the Dexcom Third Quarter 2025 Earnings Release Conference Call. My name is Abby, and I will be your operator for today's call. ","Thank you, operator, and welcome to Dexcom's Third Quarter 2025 Earnings Call. Our agenda begins with Jake Leach, Dexcom's President and Interim CEO, who will s",
443205341,AMZN,26,0,operator_cue,False,operator,,"Thank you for standing by. Good day, everyone, and welcome to the Amazon.com Third Quarter 2025 Financial Results Teleconference. At this time, all participants","Hello, and welcome to our Q3 2025 financial results conference call. Joining us today to answer your questions is Andy Jassy, our CEO; and Brian Olsavsky, our C",
443252703,CBOE,64,0,operator_cue,False,operator,,"Hello everyone, thank you for joining us and welcome to the CBOE Global Markets Third Quarter Earnings Call. After today's prepared remarks, we will host a ques","Good morning. Thank you for joining us for a third quarter earnings conference call. On the call today, Craig Donohue, our CEO will discuss our performance for ",
443565803,GPN,34,0,operator_cue,False,operator,,"Ladies and gentlemen, thank you for standing by, and welcome to Global Payments' Third Quarter 2025 Earnings Conference Call. At this time, all participants are",Good morning. Welcome to Global Payments' third quarter 2025 conference call. My name is Nate Rozof and I'm Head of Investor Relations. Joining me on today's ca,
443585291,PFE,80,5,operator_cue,False,operator,"Thank you, Dave. So operator, please assemble the queue.",(Operator Instructions) Our first question comes from Vamil Divan with Guggenheim Securities. Please go ahead.,"Hi, great. Thanks for taking my question. I'm going to have to defer the Metsera questions to other analysts, but I'm curious to hear what you say there. I'll j",
443757629,CMI,78,0,operator_cue,False,operator,,"Greetings, and welcome to the Q3 2025 Cummins Inc Earnings Conference Call. At this time, all participants are in a listen-only mode. A brief question-and-answe","Thank you, Maria. Good morning, everyone, and welcome to our teleconference today to discuss Cummins results for the third quarter of 2025. Participating -- wit",
443760865,PH,128,0,operator_cue,False,operator,,"Good morning, and welcome to Parker Hannifin Corporation's Fiscal 2026 First Quarter Earnings Conference Call and Webcast. At this time, all participants are in","Thank you, Chloe. Good morning, everyone, and welcome to Parker's fiscal year 2026 first quarter earnings release webcast. This is Todd Leombruno, Chief Financi",
443780465,MCHP,95,0,operator_cue,False,operator,,"Greetings, and welcome to the Microchip's Q2 Fiscal 2026 Financial Results Conference Call. At this time, all participants are in a listen-only mode. A question","Thank you, operator, and good afternoon, everyone. During the course of this conference call, we will be making projections and other forward-looking statements",
443830016,CEG,92,0,operator_cue,False,operator,,"Good morning, ladies and gentlemen, and welcome to the Constellation Energy Corporation Third Quarter Earnings call. At this time, all participants are in a lis","Thank you, Livia. Good morning, everyone, and thank you for joining Constellation Energy Corporation's third quarter earnings conference call. Leading the call ",
444589194,TJX,117,0,operator_cue,False,operator,,"Ladies and gentlemen, thank you for standing by. Welcome to the TJX Companies' Third Quarter Fiscal 2026 Financial Results Conference Call. At this time, all pa","Thanks, Courtney. Before we begin, Debra has some opening comments.",
444957849,KEYS,82,0,operator_cue,False,operator,,"Good day, ladies and gentlemen, and welcome to the Keysight Technologies Fiscal Fourth Quarter 2025 Earnings Conference Call. My name is Victoria, and I will be","Thank you, and welcome everyone to Keysight's Fourth Quarter Earnings Conference Call for Fiscal Year 2025. Joining me are Satish Dhanasekaran, Keysight's Presi",
445771253,ADBE,40,7,operator_cue,False,operator,"portunities that we are creating, driving continued growth and shaping the industry in 2026 and beyond. Thank you and we will now take your questions. Operator?",Thank you. (Operator Instructions). The first question comes from Mark Murphy with J.P. Morgan.,"Thank you very much and congratulations on a great finish to the year. Shantanu, down at Adobe MAX, the energy, the enthusiasm was just truly phenomenal and it ",
445771371,SNPS,70,0,operator_cue,False,operator,,"Ladies and gentlemen, welcome to the Synopsys Earnings Conference Call for the Fourth Quarter and Fiscal Year 2025. At this time, all participants are in a list","Good afternoon, everyone. With us today are Sassine Ghazi, President and CEO of Synopsys, and Shelagh Glaser, CFO. Before we begin, I'd like to remind everyone ",
446315338,MU,65,0,operator_cue,False,operator,,"Thank you for standing by, and welcome to Micron's Post Earnings Analyst Call. At this time, all participants are in a listen-only mode. After the speaker prese","Thank you, and welcome to Micron Technologies' fiscal first quarter 2026 post earnings analyst call. On the call with me today are Sumit Sadana, Micron's Chief ",
446501468,ACN,61,0,operator_cue,False,operator,,"Good morning. Thank you for standing by. Welcome to the Accenture's First Quarter Fiscal 2026 Conference Call. At this time, all participants will be in listen-","Thank you operator, and thanks to everyone for joining us today on our first quarter 2026 earnings announcement. As the operator mentioned, I'm Alexia Quadrani,",
446549708,FDX,62,0,operator_cue,False,operator,,"Good day, and welcome to the FedEx Second Quarter Fiscal 2026 Earnings Call. All participants are in listen-only mode. (Operator Instructions). After today's pr","Good afternoon, and welcome to FedEx Corporation's second-quarter earnings conference call. The second quarter earnings release, Form 10-Q, and stack book are o",
