call_id,ticker,n_turns,boundary_idx,method,corroborated,boundary_role,prev_text,boundary_text,next_text,correct_y_n
Altria Group Inc_20171026,MO,165,165,none,False,,,,,
Avery Dennison Corp_20171025,AVY,117,58,text_cue,False,unknown,"And with that, we'll now open the call up for your questions",Question-and-Answer Session,"Yes, I think overall, as I mentioned, we do see material cost tend to differ a little bit across regions and across categories",
CMS Energy_20170501,CMS,191,191,none,False,,,,,
Campbell Soup_20170217,CPB,220,220,none,False,,,,,
Campbell Soup_20170831,CPB,191,191,none,False,,,,,
"Coty, Inc_20170822",COTY,134,125,text_cue,False,unknown,"focus on e-commerce which is not done only through the acquisition of Younique, but also internally organically and the team is making big progress on this area","Now, your first question was about Luxury and Professional Beauty offsetting the Consumer Beauty pressure","What I can tell you is that, of course, we expect the momentum on Luxury and Professional Beauty to continue in 2018 and on Consumer Beauty, what I can tell you",
"Coty, Inc_20171109",COTY,205,118,text_cue,False,unknown," for us, that 2018 is giving us signs, is making us confident about stabilizing the business so that we can therefore take it from there and go to the next step","So, taking your first question Wendy, in terms of rollout of COVERGIRL, yes, there will be some inventory destocking in the coming quarter, preparing for the ar","And in terms of how we are implementing this launch, there will always be some parts of the brand which is all the new innovation pipeline, which will be in and",
Darden Restaurants_20170926,DRI,220,41,text_cue,False,unknown,"With that, we’ll take your questions",Question-and-Answer Session,"Okay, good morning, Brett",
Gartner Inc_20171102,IT,243,150,text_cue,False,unknown,"Now, I'll turn the call back over to the operator, and we'll be happy to take your questions",Operator? Question-and-Answer Session,"And, Tim, it's Craig",
Goodyear Tire & Rubber_20170428,GT,152,152,none,False,,,,,
Illinois Tool Works_20170424,ITW,122,67,text_cue,False,unknown,"With that, we'll now open the call to your questions",Question-and-Answer Session,Good morning,
Intel Corp._20170727,INTC,209,209,none,False,,,,,
Kansas City Southern_20171020,KSU,136,136,none,False,,,,,
Lennar Corp._20170620,LEN,173,2,text_cue,False,unknown,"ur President; Bruce Gross, our Chief Financial Officer; Dianne Bessette, our Vice President and Treasurer; and of course, David Collins, who you just heard from","And we also have Jeff Krasnoff, CEO of Rialto here and Eric Feder, from the Rialto Group; John Jaffe, our Chief Operating Officer; is also with us by phone from","As always, I am going to start with a brief overview, Bruce will deliver further detail, and we’d like to ask that during the Q&A portion that you limit your qu",
Lockheed Martin Corp._20171024,LMT,228,70,text_cue,False,unknown,"provide our full year 2018 outlook under the new revenue recognition standard, which is effective for us on January 1. With that, we're ready for your questions",John? Question-and-Answer Session,"Hi, Rich",
Martin Marietta Materials_20170801,MLM,420,112,text_cue,False,unknown,"If the operator will now give the required instructions, we'll turn our attention to addressing your questions",Question-and-Answer Session,"Kathryn, good morning, and thank you for that",
Microsoft Corp._20170126,MSFT,190,190,none,False,,,,,
Nordstrom_20171109,JWN,125,125,none,False,,,,,
Nucor Corp._20170420,NUE,56,56,none,False,,,,,
Pinnacle West Capital_20171103,PNW,82,53,text_cue,False,unknown,I will now turn the call back over to the operator for questions,Question-and-Answer Session,"Well, I would just state it this way since we don't give earnings growth is, our rate base growth is 6% to 7%, the board and the management team is very comfort",
Republic Services Inc_20170216,RSG,98,98,none,False,,,,,
SVB Financial_20170427,SIVB,157,103,text_cue,False,unknown,And now I will ask the operator to open the line for Q&A,Question-and-Answer Session,"So roughly, approximately around 2.5% and we're primarily mortgage-backed securities or agency-backed securities",
Sherwin-Williams_20170720,SHW,372,89,text_cue,False,unknown,"Again, I'd like to thank you for joining us this morning and now we'll be happy to take your questions",Question-and-Answer Session,"Well, let me take a stab at this Jeff and say that the weakness that we saw first in the quarter -- first quarter to second quarter was pretty broad based",
Stericycle Inc_20170803,SRCL,103,103,none,False,,,,,
The Walt Disney Company_20170509,DIS,85,85,none,False,,,,,
Tractor Supply Company_20170201,TSCO,67,67,none,False,,,,,
U.S. Bancorp_20170419,USB,194,194,none,False,,,,,
Verizon Communications_20170420,VZ,275,200,text_cue,False,unknown,e’re also very confident with the assets we have and the plans we have of developing the business in an organic fashion as well and generating shareholder value,So I'll take your first question then,"But you mentioned, made a comment there Craig about re-lead in networks superiority, that would imply that at some point we didn’t -- we have given up the lead ",
Walmart_20171116,WMT,195,31,text_cue,False,unknown,"And at this point, we'd be happy to take your questions",Question-and-Answer Session,"Thanks, Michael",
Yum! Brands Inc_20170209,YUM,216,216,none,False,,,,,
