call_id,ticker,n_turns,boundary_idx,method,corroborated,boundary_role,prev_text,boundary_text,next_text,correct_y_n
20150507_MTD,MTD,93,93,none,False,,,,,
20150730_WU,WU,65,53,text_cue,False,unknown,We've been quite successful and we continue to expand that into more markets.,"Laura, I think we have one more person in the queue, so we'll take the final question.",So our pricing actions that we put in place in 2015 are working and we've been seeing good response to our pricing actions.,
20151022_AMZN,AMZN,83,83,none,False,,,,,
20151022_NTGR,NTGR,146,146,none,False,,,,,
20151022_SPSC,SPSC,39,39,none,False,,,,,
20160105_CMC,CMC,121,121,none,False,,,,,
20160107_BBBY,BBBY,133,133,none,False,,,,,
20160126_GWW,GWW,86,86,none,False,,,,,
20160428_TFX,TFX,46,46,none,False,,,,,
20160509_DEA,DEA,84,84,none,False,,,,,
20160517_RRGB,RRGB,13,13,none,False,,,,,
20160727_GRMN,GRMN,18,18,none,False,,,,,
20160801_TXRH,TXRH,91,91,none,False,,,,,
20160802_SHOO,SHOO,32,32,none,False,,,,,
20160805_POST,POST,80,80,none,False,,,,,
20161018_ISRG,ISRG,124,19,text_cue,False,unknown,But we will do that opportunistically as we have in the past.,"On the first question, I think in the long term I think it deepens our relationships with customers and regulators in China.",I don't -- I wouldn't assume that it's a magic switch in the near term.,
20161020_ASB,ASB,91,91,none,False,,,,,
20161027_KWR,KWR,88,88,none,False,,,,,
20170207_AKAM,AKAM,106,106,none,False,,,,,
20170215_FSP,FSP,37,37,none,False,,,,,
20170426_O,O,229,5,text_cue,False,unknown,We will disclose in greater detail the factors that may cause such differences in the company's Form 10-Q.,"(Operator Instructions) I will now turn the call over to our CEO, <UNK> <UNK>.","Thanks, <UNK>.",
20170427_KIM,KIM,218,100,text_cue,False,unknown,"And with that, we'd be happy to answer your questions.",We're ready move to Q&A portion of the call.,"(Operator Instructions) Phil, take our first caller.",
20170502_OGS,OGS,105,105,none,False,,,,,
20170509_SRE,SRE,54,45,text_cue,False,unknown,"And with that, we'll conclude with our prepared comment and start to take any additional questions that you might have",Question-and-Answer Session,"Good afternoon, <UNK>",
20170622_ACN,ACN,132,132,none,False,,,,,
20170727_SKYW,SKYW,113,7,text_cue,False,unknown,Then <UNK> will discuss the fleet and related flying arrangements.,"Following <UNK>, we will have the customary Q&A session with our sell-side analysts.",<UNK>.,
20171107_IVR,IVR,69,1,text_cue,False,unknown,"Good morning, and thanks for joining Invesco Mortgage Capital's Third Quarter 2017 Earnings Call.",Management team and I appreciate your participation today and we look forward to sharing our prepared remarks and receiving your questions during the Q&A sessio,"I'll begin by providing a few highlights for the recent quarter and our outlook, if I transition the call to <UNK> <UNK>, our Chief Investment Officer, who disc",
20180206_SPSC,SPSC,181,77,text_cue,False,unknown,We believe SPS is well positioned to expand its market leadership.,"And with that, I'd like to open the call to questions.",Yes.,
20180425_CPF,CPF,180,180,none,False,,,,,
20180504_CBOE,CBOE,295,128,text_cue,False,unknown,"At this point, we'd be happy to take questions.",(Operator Instructions) Keith.,"Well, Rich, I think you\",
